time,P,G(i),H_sun,T2m,WS10m,Int
20130109:2130,0,0,-0.99,1.88,4.41,0
20130109:2230,0,0,0,2.5,4.83,0
20130109:2330,0,0,0,3.23,6,0
20130110:0030,0,0,0,3.61,7.24,0
20130110:0130,0,0,0,3.34,7.79,0
20130110:0230,0,0,0,2.81,7.79,0
20130110:0330,0,0,0,2.25,7.59,0
20130110:0430,0,0,0,1.86,7.45,0
20130110:0530,0,0,0,1.71,7.59,0
20130110:0630,0,0,0,1.62,7.66,0
20130110:0730,0,0,0,1.67,7.52,0
20130110:0830,0,0,0,1.46,7.59,0
20130110:0930,0,0,0,1.43,7.38,0
20130110:1030,0,0,0,1.01,6.55,0
20130110:1130,0,0,0,0.62,5.86,0
20130110:1230,0,0,-1.31,0.22,5.03,0
20130110:1330,978.18,562.26,7.16,-0.17,4.34,0
20130110:1430,1389.48,812,14.2,-0.14,4.34,0
20130110:1530,1306.42,763.29,19.34,0.45,4.48,0
20130110:1630,1330.6,780.24,22.1,1.04,4.48,0
20130110:1730,1236.88,722.84,22.17,1.44,4.69,0
20130110:1830,1205.86,705.35,19.56,1.71,4.48,0
20130110:1930,1149.92,674.44,14.54,2.26,3.72,0
20130110:2030,687.58,399.73,7.58,1.96,3.38,0
20130110:2130,0,0,-0.82,1.26,3.1,0
20130110:2230,0,0,0,0.23,2.83,0
20130110:2330,0,0,0,-0.31,2.48,0
20130111:0030,0,0,0,-0.91,2.07,0
20130111:0130,0,0,0,-1.61,1.66,0
20130111:0230,0,0,0,-2.63,1.45,0
20130111:0330,0,0,0,-3.77,1.24,0
20130111:0430,0,0,0,-3.9,1.03,0
20130111:0530,0,0,0,-3.79,0.69,0
20130111:0630,0,0,0,-4.3,0.62,0
20130111:0730,0,0,0,-5.98,1.86,0
20130111:0830,0,0,0,-5.6,2.14,0
20130111:0930,0,0,0,-5.63,2,0
20130111:1030,0,0,0,-5.9,2.14,0
20130111:1130,0,0,0,-6.06,2.41,0
20130111:1230,0,0,-1.25,-5.95,2.55,0
20130111:1330,73.44,43.3,7.23,-5.73,2.69,0
20130111:1430,170.92,100.5,14.3,-4.94,2.69,0
20130111:1530,231.08,135.82,19.46,-3.87,2.76,0
20130111:1630,229.22,135.69,22.24,-2.94,2.9,0
20130111:1730,176.22,105.92,22.34,-1.97,2.83,0
20130111:1830,75.38,47.28,19.73,-1.17,2.62,0
20130111:1930,58.28,37.25,14.71,-0.68,3.03,0
20130111:2030,59.52,37.99,7.76,-0.06,3.31,0
20130111:2130,0,0,-0.64,0.45,3.1,0
20130111:2230,0,0,0,0.87,3.17,0
20130111:2330,0,0,0,1.19,3.24,0
20130112:0030,0,0,0,1.26,3.24,0
20130112:0130,0,0,0,1.38,3.38,0
20130112:0230,0,0,0,1.54,3.52,0
20130112:0330,0,0,0,1.72,3.52,0
20130112:0430,0,0,0,1.94,3.38,0
20130112:0530,0,0,0,2.09,3.38,0
20130112:0630,0,0,0,2.26,3.45,0
20130112:0730,0,0,0,2.33,3.66,0
20130112:0830,0,0,0,2.42,3.59,0
20130112:0930,0,0,0,2.46,3.17,0
20130112:1030,0,0,0,2.46,2.83,0
20130112:1130,0,0,0,2.42,2.83,0
20130112:1230,0,0,-1.19,2.48,2.9,0
20130112:1330,19.52,14.48,7.32,2.59,2.97,0
20130112:1430,70.68,46.41,14.4,2.87,2.97,0
20130112:1530,148.64,93.18,19.59,3.17,2.83,0
20130112:1630,248.5,151.38,22.39,3.61,2.76,0
20130112:1730,218.14,135.09,22.5,4.03,2.55,0
20130112:1830,217.78,135.25,19.91,4.21,2.28,0
20130112:1930,243.44,149.86,14.9,4.35,2.28,0
20130112:2030,92.68,60.81,7.94,4.38,2.55,0
20130112:2130,0,0,-0.46,3.99,2.9,0
20130112:2230,0,0,0,3.63,3.1,0
20130112:2330,0,0,0,3.6,3.1,0
20130113:0030,0,0,0,3.81,2.97,0
20130113:0130,0,0,0,3.88,2.9,0
20130113:0230,0,0,0,3.87,2.83,0
20130113:0330,0,0,0,3.68,2.69,0
20130113:0430,0,0,0,3.59,2.34,0
20130113:0530,0,0,0,3.52,2.34,0
20130113:0630,0,0,0,3.42,2.28,0
20130113:0730,0,0,0,2.82,1.79,0
20130113:0830,0,0,0,2.22,1.52,0
20130113:0930,0,0,0,1.95,1.59,0
20130113:1030,0,0,0,1.94,1.66,0
20130113:1130,0,0,0,2.04,1.86,0
20130113:1230,0,0,-1.12,2,1.86,0
20130113:1330,61.5,40.37,7.4,1.98,2.14,0
20130113:1430,92.26,59.39,14.51,2.5,2.34,0
20130113:1530,58.66,39.59,19.72,3.25,3.24,0
20130113:1630,67.78,45.61,22.55,3.81,3.52,0
20130113:1730,47.04,33.01,22.68,4.45,3.52,0
20130113:1830,193.1,119.66,20.09,4.93,3.72,0
20130113:1930,25.94,20.03,15.08,5.85,3.52,0
20130113:2030,103.92,67.4,8.13,6.04,3.38,0
20130113:2130,0,0,-0.28,6.53,3.17,0
20130113:2230,0,0,0,6.81,3.38,0
20130113:2330,0,0,0,6.86,3.24,0
20130114:0030,0,0,0,6.98,3.17,0
20130114:0130,0,0,0,6.83,2.97,0
20130114:0230,0,0,0,6.46,2.83,0
20130114:0330,0,0,0,6.03,2.62,0
20130114:0430,0,0,0,5.45,2.34,0
20130114:0530,0,0,0,4.54,1.86,0
20130114:0630,0,0,0,4.29,2.14,0
20130114:0730,0,0,0,4.4,2.69,0
20130114:0830,0,0,0,4.53,2.97,0
20130114:0930,0,0,0,4.99,3.31,0
20130114:1030,0,0,0,5.75,3.52,0
20130114:1130,0,0,0,6.33,5.24,0
20130114:1230,0,0,-1.04,5.33,5.79,0
20130114:1330,476.54,278.39,7.5,4.14,6.69,0
20130114:1430,1105.94,640.58,14.63,3.32,6.97,0
20130114:1530,1197.88,695.96,19.86,2.9,6.97,0
20130114:1630,883.68,512.15,22.71,2.68,7.1,0
20130114:1730,907.98,524.9,22.86,2.51,7.1,0
20130114:1830,995.22,576.03,20.28,2.38,6.55,0
20130114:1930,756.78,439.13,15.28,3.03,5.38,0
20130114:2030,739.48,428.76,8.32,2.66,4.76,0
20130114:2130,0,0,-0.09,2.04,4.41,0
20130114:2230,0,0,0,0.98,3.72,0
20130114:2330,0,0,0,-0.03,3.72,0
20130115:0030,0,0,0,-0.64,3.59,0
20130115:0130,0,0,0,-1.17,3.59,0
20130115:0230,0,0,0,-1.5,3.45,0
20130115:0330,0,0,0,-2.01,2.76,0
20130115:0430,0,0,0,-2.61,2.28,0
20130115:0530,0,0,0,-3.2,1.93,0
20130115:0630,0,0,0,-3.84,1.86,0
20130115:0730,0,0,0,-3.73,2.21,0
20130115:0830,0,0,0,-4.83,2.28,0
20130115:0930,0,0,0,-5.88,2.07,0
20130115:1030,0,0,0,-6.83,1.86,0
20130115:1130,0,0,0,-7.63,1.66,0
20130115:1230,0,0,-0.96,-8.37,1.38,0
20130115:1330,962.22,548.13,7.6,-8.06,1.1,0
20130115:1430,1291.68,756.39,14.75,-6.87,0.76,0
20130115:1530,1492.02,887.97,20.01,-5.9,1.03,0
20130115:1630,1509.4,900.77,22.88,-3.82,1.66,0
20130115:1730,1476.58,872.66,23.04,-2.75,2.62,0
20130115:1830,883.96,509.83,20.48,-2.14,3.24,0
20130115:1930,578.44,334.38,15.48,-1.27,3.1,0
20130115:2030,358.8,208.36,8.52,-1.05,3.1,0
20130115:2130,4.86,3.63,0.1,-1.4,2.28,0
20130115:2230,0,0,0,-2.54,1.86,0
20130115:2330,0,0,0,-3.44,2.14,0
20130116:0030,0,0,0,-3.87,2.48,0
20130116:0130,0,0,0,-4.11,2.9,0
20130116:0230,0,0,0,-4.17,3.1,0
20130116:0330,0,0,0,-4.22,3.03,0
20130116:0430,0,0,0,-4.59,2.69,0
20130116:0530,0,0,0,-5.27,2.28,0
20130116:0630,0,0,0,-6.05,1.86,0
20130116:0730,0,0,0,-5.88,1.66,0
20130116:0830,0,0,0,-5.86,1.24,0
20130116:0930,0,0,0,-5.32,0.83,0
20130116:1030,0,0,0,-5.34,0.48,0
20130116:1130,0,0,0,-5.49,0.69,0
20130116:1230,0,0,-0.87,-5.92,0.9,0
20130116:1330,106.68,62.03,7.71,-6.09,1.03,0
20130116:1430,525,300.77,14.88,-5.69,1.17,0
20130116:1530,693.96,400.51,20.16,-4.17,1.31,0
20130116:1630,902.32,527.51,23.06,-1.35,1.66,0
20130116:1730,856,500.95,23.24,-0.1,2.14,0
20130116:1830,907.96,531.83,20.68,0.47,2.28,0
20130116:1930,1011.56,591.27,15.68,0.31,2.62,0
20130116:2030,669.66,388.37,8.72,0.53,2.83,0
20130116:2130,4.3,3.46,0.3,-0.08,2.21,0
20130116:2230,0,0,0,-0.92,2.41,0
20130116:2330,0,0,0,-0.98,2.55,0
20130117:0030,0,0,0,-1.09,2.76,0
20130117:0130,0,0,0,-1.11,3.17,0
20130117:0230,0,0,0,-0.8,3.93,0
20130117:0330,0,0,0,-0.44,4.48,0
20130117:0430,0,0,0,-0.11,4.76,0
20130117:0530,0,0,0,-0.09,5.03,0
20130117:0630,0,0,0,-0.2,5.1,0
20130117:0730,0,0,0,0.17,5.45,0
20130117:0830,0,0,0,-0.1,5.59,0
20130117:0930,0,0,0,-0.34,5.72,0
20130117:1030,0,0,0,-0.51,5.79,0
20130117:1130,0,0,0,-0.78,5.72,0
20130117:1230,0,0,-0.77,-2.72,6.14,0
20130117:1330,1095.8,615.23,7.82,-5.8,5.93,0
20130117:1430,1564.28,888.41,15.02,-8.04,5.59,0
20130117:1530,1566.18,885.21,20.33,-9.6,5.72,0
20130117:1630,1514.82,853.03,23.24,-10.66,5.52,0
20130117:1730,1686.22,954.92,23.44,-11.37,5.17,0
20130117:1830,1724.62,979.78,20.89,-11.83,4.69,0
20130117:1930,1698.98,970.45,15.89,-12.73,3.45,0
20130117:2030,1442.84,812.31,8.92,-12.98,3.24,0
20130117:2130,10.54,5.09,0.5,-13.68,2.9,0
20130117:2230,0,0,0,-14.82,2.76,0
20130117:2330,0,0,0,-15.93,2.55,0
20130118:0030,0,0,0,-16.99,2.41,0
20130118:0130,0,0,0,-17.84,2.34,0
20130118:0230,0,0,0,-18.67,2.14,0
20130118:0330,0,0,0,-19.49,2.07,0
20130118:0430,0,0,0,-20.34,2.07,0
20130118:0530,0,0,0,-21.08,1.86,0
20130118:0630,0,0,0,-21.8,1.86,0
20130118:0730,0,0,0,-21.34,1.38,0
20130118:0830,0,0,0,-21.72,1.38,0
20130118:0930,0,0,0,-22.81,1.59,0
20130118:1030,0,0,0,-24.3,1.86,0
20130118:1130,0,0,0,-24.87,2,0
20130118:1230,0,0,-0.67,-24.93,2.07,0
20130118:1330,1120.24,603.24,7.94,-24.08,2,0
20130118:1430,1402.66,769.68,15.17,-22.09,2.34,0
20130118:1530,1621.28,907.89,20.49,-17.78,3.17,0
20130118:1630,1645.46,921.64,23.43,-15.39,4.28,0
20130118:1730,1827.2,1028.13,23.64,-14.27,5.45,0
20130118:1830,1865.72,1053.73,21.1,-13.63,5.45,0
20130118:1930,1729.94,980.49,16.1,-12.02,4.83,0
20130118:2030,1438.32,807.85,9.13,-11.75,4.14,0
20130118:2130,10.62,5.4,0.7,-11.86,3.38,0
20130118:2230,0,0,0,-12.66,2.34,0
20130118:2330,0,0,0,-13.91,1.24,0
20130119:0030,0,0,0,-12.48,0.48,0
20130119:0130,0,0,0,-14.94,1.72,0
20130119:0230,0,0,0,-13.28,2.34,0
20130119:0330,0,0,0,-11.87,2.41,0
20130119:0430,0,0,0,-10.64,2.48,0
20130119:0530,0,0,0,-9.8,2.55,0
20130119:0630,0,0,0,-8.95,2.62,0
20130119:0730,0,0,0,-8.17,3.24,0
20130119:0830,0,0,0,-7.49,3.1,0
20130119:0930,0,0,0,-6.84,2.9,0
20130119:1030,0,0,0,-6.17,2.62,0
20130119:1130,0,0,0,-5.44,2.48,0
20130119:1230,0,0,-0.56,-4.59,2.48,0
20130119:1330,30.66,19.18,8.07,-3.67,2.62,0
20130119:1430,76.24,46.97,15.32,-2.55,2.76,0
20130119:1530,142.36,86.5,20.67,-1.34,3.03,0
20130119:1630,140.88,86.88,23.63,-0.1,3.1,0
20130119:1730,161.26,99.22,23.86,0.77,3.38,0
20130119:1830,127.22,79.95,21.32,1.58,4.21,0
20130119:1930,115.5,72.74,16.32,0.91,2.55,0
20130119:2030,60.72,39.59,9.35,1.46,2.55,0
20130119:2130,6.24,5.14,0.91,1.59,2.48,0
20130119:2230,0,0,0,1.45,1.93,0
20130119:2330,0,0,0,1.14,1.45,0
20130120:0030,0,0,0,0.58,1.38,0
20130120:0130,0,0,0,0.48,1.31,0
20130120:0230,0,0,0,0.31,1.59,0
20130120:0330,0,0,0,0.13,2.07,0
20130120:0430,0,0,0,0.21,2.62,0
20130120:0530,0,0,0,0.45,3.52,0
20130120:0630,0,0,0,0.75,4.14,0
20130120:0730,0,0,0,1.5,4.34,0
20130120:0830,0,0,0,2.14,4.34,0
20130120:0930,0,0,0,2.43,4.41,0
20130120:1030,0,0,0,2.42,5.03,0
20130120:1130,0,0,0,2.96,5.72,0
20130120:1230,0,0,-0.45,3.14,6.28,0
20130120:1330,277.5,164.83,8.21,3.42,8.21,0
20130120:1430,802.18,460.68,15.47,3.05,9.52,0
20130120:1530,930.88,532.6,20.85,1.41,8.9,0
20130120:1630,1311.18,752.76,23.83,1.07,9.31,0
20130120:1730,1279,730.4,24.07,0.24,9.72,0
20130120:1830,1291.44,735.68,21.54,-0.66,9.66,0
20130120:1930,1018.36,576.54,16.54,-1.7,8.55,0
20130120:2030,1052.68,588.5,9.56,-4.22,9.52,0
20130120:2130,12.44,7.18,1.11,-7.57,8.41,0
20130120:2230,0,0,0,-9.7,8.28,0
20130120:2330,0,0,0,-11.01,7.52,0
20130121:0030,0,0,0,-11.99,6.97,0
20130121:0130,0,0,0,-12.81,6.69,0
20130121:0230,0,0,0,-13.59,6.48,0
20130121:0330,0,0,0,-14.34,6.14,0
20130121:0430,0,0,0,-15.07,5.66,0
20130121:0530,0,0,0,-15.77,5.17,0
20130121:0630,0,0,0,-16.46,4.76,0
20130121:0730,0,0,0,-16.78,4.21,0
20130121:0830,0,0,0,-17.37,3.86,0
20130121:0930,0,0,0,-17.92,3.59,0
20130121:1030,0,0,0,-18.5,3.24,0
20130121:1130,0,0,0,-18.97,2.9,0
20130121:1230,0,0,-0.33,-19.49,2.62,0
20130121:1330,1368.76,753.73,8.35,-19.9,2.41,0
20130121:1430,1685.08,947.53,15.64,-19.34,2.41,0
20130121:1530,1851.7,1051.41,21.04,-18.17,2.97,0
20130121:1630,1882.58,1089.21,24.04,-17.26,2.07,0
20130121:1730,1607.8,922.67,24.3,-16.24,1.59,0
20130121:1830,1384.86,788.06,21.77,-15.39,1.38,0
20130121:1930,919.64,511.68,16.77,-14.84,1.59,0
20130121:2030,640.98,353.25,9.78,-14.81,1.31,0
20130121:2130,21.14,10.27,1.33,-15.3,1.17,0
20130121:2230,0,0,0,-16.15,1.66,0
20130121:2330,0,0,0,-16.52,1.93,0
20130122:0030,0,0,0,-16.64,2,0
20130122:0130,0,0,0,-16.53,1.79,0
20130122:0230,0,0,0,-16.51,2,0
20130122:0330,0,0,0,-16.66,2.55,0
20130122:0430,0,0,0,-17.01,2.9,0
20130122:0530,0,0,0,-17.42,3.17,0
20130122:0630,0,0,0,-18.02,3.31,0
20130122:0730,0,0,0,-18.6,2.83,0
20130122:0830,0,0,0,-19.36,2.76,0
20130122:0930,0,0,0,-19.87,2.76,0
20130122:1030,0,0,0,-20.11,2.83,0
20130122:1130,0,0,0,-20.37,2.83,0
20130122:1230,0,0,-0.2,-20.51,2.55,0
20130122:1330,137.7,69.76,8.49,-20.59,2.21,0
20130122:1430,378.64,201.82,15.81,-20.3,2,0
20130122:1530,661.82,360.04,21.23,-19.64,1.66,0
20130122:1630,970.7,537.32,24.26,-18.83,1.17,0
20130122:1730,1351.72,767.39,24.53,-17.95,0.69,0
20130122:1830,1481.24,851.87,22.01,-16.96,0.55,0
20130122:1930,1090.5,605.34,17,-15.45,2.55,0
20130122:2030,1001.46,550.55,10.01,-14.72,3.59,0
20130122:2130,17.88,8.65,1.54,-14.89,4,0
20130122:2230,0,0,0,-16.14,5.1,0
20130122:2330,0,0,0,-17.29,5.38,0
20130123:0030,0,0,0,-18.49,4.76,0
20130123:0130,0,0,0,-19.53,4.07,0
20130123:0230,0,0,0,-20.47,3.59,0
20130123:0330,0,0,0,-21.29,3.31,0
20130123:0430,0,0,0,-22.1,3.1,0
